Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2022-2023,31,Real Madrid,es ESP,1. La Liga,2nd,23,12,1144,12.7,4,1,5,4,0,0,2,0,1.9,1.9,1.6,3.5,31,50,145,0.31,0.08,0.39,0.31,0.39,0.15,0.13,0.28,0.15,0.28,Lucas Vázquez,DF
2023-2024,32,Real Madrid,es ESP,1. La Liga,1st,29,14,1419,15.8,3,6,9,3,0,0,0,0,1.2,1.1,3.8,4.8,28,58,160,0.19,0.38,0.57,0.19,0.57,0.07,0.24,0.31,0.07,0.31,Lucas Vázquez,DF
2024-2025,33,Real Madrid,es ESP,1. La Liga,1st,16,11,971,10.8,1,2,3,1,0,0,3,0,0.6,0.6,1.8,2.3,16,40,82,0.09,0.19,0.28,0.09,0.28,0.05,0.16,0.21,0.05,0.21,Lucas Vázquez,DF
2018-2019,20,Porto,pt POR,1. Primeira Liga,2nd,29,29,2599,28.9,3,2,5,3,0,0,0,0,2.1,2.1,1.9,4.0,25,130,53,0.10,0.07,0.17,0.10,0.17,0.07,0.07,0.14,0.07,0.14,Éder Militão,DF
2019-2020,21,Real Madrid,es ESP,1. La Liga,1st,15,10,1022,11.4,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,3,26,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Éder Militão,DF
2020-2021,22,Real Madrid,es ESP,1. La Liga,2nd,14,13,1133,12.6,1,0,1,1,0,0,3,1,1.1,1.1,0.0,1.1,13,24,5,0.08,0.00,0.08,0.08,0.08,0.08,0.00,0.08,0.08,0.08,Éder Militão,DF
2021-2022,23,Real Madrid,es ESP,1. La Liga,1st,34,34,3031,33.7,1,2,3,1,0,0,5,0,2.5,2.5,1.1,3.5,22,102,15,0.03,0.06,0.09,0.03,0.09,0.07,0.03,0.11,0.07,0.11,Éder Militão,DF
2022-2023,24,Real Madrid,es ESP,1. La Liga,2nd,33,30,2703,30.0,5,0,5,5,0,0,4,0,2.4,2.4,0.6,2.9,28,98,16,0.17,0.00,0.17,0.17,0.17,0.08,0.02,0.10,0.08,0.10,Éder Militão,DF
2023-2024,25,Real Madrid,es ESP,1. La Liga,1st,10,6,496,5.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,7,15,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Éder Militão,DF
2024-2025,26,Real Madrid,es ESP,1. La Liga,1st,12,11,938,10.4,1,1,2,1,0,0,2,0,0.6,0.6,0.5,1.1,7,46,1,0.10,0.10,0.19,0.10,0.19,0.06,0.05,0.11,0.06,0.11,Éder Militão,DF
