Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2021-2022,23,Milan,it ITA,1. Serie A,1st,30.2,1742,1638,97,54,1,10,3,6,0,0,0,0,1524,7,10,Fikayo Tomori,DF
2022-2023,24,Milan,it ITA,1. Serie A,4th,30.7,1922,1786,129,51,4,19,6,13,0,0,0,0,1697,7,18,Fikayo Tomori,DF
2023-2024,25,Milan,it ITA,1. Serie A,2nd,23.6,1691,1584,105,34,0,3,3,11,0,0,0,0,1541,2,9,Fikayo Tomori,DF
2024-2025,26,Milan,it ITA,1. Serie A,8th,6.2,424,402,22,10,0,2,1,2,0,0,0,0,394,0,1,Fikayo Tomori,DF
2021-2022,18,Hellas Verona,it ITA,1. Serie A,9th,0.1,5,3,2,0,0,0,0,2,0,0,0,0,3,0,0,Filippo Terracciano,"DF,MF"
2022-2023,19,Hellas Verona,it ITA,1. Serie A,18th,9.1,343,290,51,7,1,4,25,42,2,1,1,0,235,2,12,Filippo Terracciano,"DF,MF"
2023-2024,20,Hellas Verona,it ITA,1. Serie A,13th,14.4,713,559,153,19,1,10,59,121,13,2,10,0,507,1,15,Filippo Terracciano,"DF,MF"
2023-2024,20,Milan,it ITA,1. Serie A,2nd,0.8,40,39,1,0,0,0,0,1,0,0,0,0,38,0,0,Filippo Terracciano,"DF,MF"
2024-2025,21,Milan,it ITA,1. Serie A,8th,5.5,231,194,37,6,1,1,3,31,0,0,0,0,207,0,1,Filippo Terracciano,"DF,MF"
2020-2021,17,Valencia,es ESP,1. La Liga,13th,17.0,431,421,8,1,0,3,16,5,2,0,0,0,314,2,8,Yunus Musah,"MF,FW"
2021-2022,18,Valencia,es ESP,1. La Liga,9th,14.0,384,360,20,3,0,6,29,11,2,0,0,1,277,4,17,Yunus Musah,"MF,FW"
2022-2023,19,Valencia,es ESP,1. La Liga,16th,23.4,771,757,12,3,3,11,40,9,0,0,0,0,604,2,29,Yunus Musah,"MF,FW"
2023-2024,20,Milan,it ITA,1. Serie A,2nd,16.4,666,628,37,1,0,3,28,36,0,0,0,0,566,1,12,Yunus Musah,"MF,FW"
2024-2025,21,Milan,it ITA,1. Serie A,8th,6.0,292,280,11,3,0,2,12,8,0,0,0,0,259,1,6,Yunus Musah,"MF,FW"
2018-2019,18,Basel,ch SUI,1. Super Lg,2nd,16.3,,,,,,,,,,,,,,,,Noah Okafor,FW
2019-2020,19,Basel,ch SUI,1. Super Lg,3rd,7.0,,,,,,,20,,,,,,,,,Noah Okafor,FW
2019-2020,19,RB Salzburg,at AUT,1. Bundesliga,1st,5.2,,,,,,,12,,,,,,,,,Noah Okafor,FW
2020-2021,20,RB Salzburg,at AUT,1. Bundesliga,1st,9.9,,,,,,,22,,,,,,,,,Noah Okafor,FW
2021-2022,21,RB Salzburg,at AUT,1. Bundesliga,1st,10.6,,,,,,,26,,,,,,,,,Noah Okafor,FW
2022-2023,22,RB Salzburg,at AUT,1. Bundesliga,1st,11.1,,,,,,,34,,,,,,,,,Noah Okafor,FW
2023-2024,23,Milan,it ITA,1. Serie A,2nd,9.9,193,184,6,0,1,1,22,2,0,0,0,0,120,3,6,Noah Okafor,FW
2024-2025,24,Milan,it ITA,1. Serie A,8th,4.6,105,96,9,1,0,0,13,1,1,1,0,0,77,0,2,Noah Okafor,FW
2023-2024,18,Milan,it ITA,1. Serie A,2nd,0.8,43,35,8,0,0,0,1,8,0,0,0,0,39,0,1,Alejandro Jiménez,"DF,FW"
2024-2025,19,Milan,it ITA,1. Serie A,8th,3.0,123,115,8,2,0,0,12,6,0,0,0,0,102,0,0,Alejandro Jiménez,"DF,FW"
2014-2015,17,Milan,it ITA,1. Serie A,10th,0.1,,,,,,,,,,,,,,,,Davide Calabria,"DF,FW"
2015-2016,18,Milan,it ITA,1. Serie A,7th,4.1,,,,,,,,,,,,,,,,Davide Calabria,"DF,FW"
2016-2017,19,Milan,it ITA,1. Serie A,6th,11.0,,,,,,,37.0,,,,,,,,,Davide Calabria,"DF,FW"
2017-2018,20,Milan,it ITA,1. Serie A,6th,17.4,1165.0,943.0,221.0,26.0,0.0,6.0,81.0,195.0,0.0,0.0,0.0,0.0,910.0,1.0,35.0,Davide Calabria,"DF,FW"
2018-2019,21,Milan,it ITA,1. Serie A,5th,21.7,1486.0,1274.0,203.0,23.0,1.0,8.0,65.0,179.0,1.0,0.0,0.0,0.0,1200.0,9.0,32.0,Davide Calabria,"DF,FW"
2019-2020,22,Milan,it ITA,1. Serie A,6th,18.0,1168.0,983.0,184.0,18.0,1.0,9.0,48.0,166.0,0.0,0.0,0.0,0.0,938.0,1.0,21.0,Davide Calabria,"DF,FW"
2020-2021,23,Milan,it ITA,1. Serie A,2nd,29.4,1792.0,1519.0,259.0,38.0,0.0,11.0,69.0,221.0,0.0,0.0,0.0,0.0,1384.0,14.0,34.0,Davide Calabria,"DF,FW"
