Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Player
Bundesliga (5 Seasons),Bundesliga (5 Seasons),Bundesliga (5 Seasons),,,,71.3,6,0,0,66,137,5,82,40,61,1,0,0,393,61,85,41.8,,Dani Olmo
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,5.9,0,0,0,9,8,1,10,1,5,0,0,0,24,5,2,71.4,,Dani Olmo
2010-2011,18,Gladbach,de GER,1. Bundesliga,16th,6.0,0,0,,0,,,,,,,,,,,,,Matches,Marc-André ter Stegen
2011-2012,19,Gladbach,de GER,1. Bundesliga,4th,34.0,0,0,,0,,,,,,,,,,,,,Matches,Marc-André ter Stegen
2012-2013,20,Gladbach,de GER,1. Bundesliga,8th,33.8,2,0,,0,,,,,,,,,,,,,Matches,Marc-André ter Stegen
2013-2014,21,Gladbach,de GER,1. Bundesliga,6th,34.0,1,0,,0,,,,,,,,,,,,,Matches,Marc-André ter Stegen
2015-2016,23,Barcelona,es ESP,1. La Liga,1st,6.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Matches,Marc-André ter Stegen
2016-2017,24,Barcelona,es ESP,1. La Liga,2nd,36.0,1,0,0,1,4,0,0,2,0,0,0,0,,,,,Matches,Marc-André ter Stegen
2017-2018,25,Barcelona,es ESP,1. La Liga,1st,37.0,0,0,0,0,1,0,0,4,0,0,0,0,59,2,0,100.0,Matches,Marc-André ter Stegen
2018-2019,26,Barcelona,es ESP,1. La Liga,1st,35.0,0,0,0,0,2,0,0,2,0,0,0,0,58,5,0,100.0,Matches,Marc-André ter Stegen
2019-2020,27,Barcelona,es ESP,1. La Liga,2nd,36.0,1,0,0,0,2,0,0,2,2,0,0,0,59,11,1,91.7,Matches,Marc-André ter Stegen
2020-2021,28,Barcelona,es ESP,1. La Liga,3rd,31.0,1,0,0,1,1,0,0,0,0,0,1,0,46,6,0,100.0,Matches,Marc-André ter Stegen
2021-2022,29,Barcelona,es ESP,1. La Liga,2nd,35.0,3,0,0,0,6,0,0,1,0,0,0,0,51,5,0,100.0,Matches,Marc-André ter Stegen
2022-2023,30,Barcelona,es ESP,1. La Liga,1st,37.2,0,0,0,0,2,0,0,1,0,0,0,0,69,6,1,85.7,Matches,Marc-André ter Stegen
2023-2024,31,Barcelona,es ESP,1. La Liga,2nd,28.0,3,0,0,0,1,0,0,0,0,0,0,0,55,4,0,100.0,Matches,Marc-André ter Stegen
2024-2025,32,Barcelona,es ESP,1. La Liga,1st,5.5,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,100.0,Matches,Marc-André ter Stegen
15 Seasons,15 Seasons,2 Clubs,,2 Leagues,,394.6,12,0,0,2,21,0,0,12,2,0,1,0,402,40,2,95.2,,Marc-André ter Stegen
,,,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Marc-André ter Stegen
