Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Player
Juventus (7 Seasons),Juventus (7 Seasons),Juventus (7 Seasons),,1 League,,200,200,17910,199.0,0,1,1,0,0,0,4,0,0.0,0.0,0.2,0.2,0,1,1,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,Wojciech Szczęsny
Arsenal (5 Seasons),Arsenal (5 Seasons),Arsenal (5 Seasons),,1 League,,132,132,11848,131.6,0,0,0,0,0,0,7,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,Wojciech Szczęsny
Roma (2 Seasons),Roma (2 Seasons),Roma (2 Seasons),,1 League,,72,72,6480,72.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,Wojciech Szczęsny
Brentford (1 Season),Brentford (1 Season),Brentford (1 Season),,1 League,,28,28,2495,27.7,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,Wojciech Szczęsny
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wojciech Szczęsny
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wojciech Szczęsny
Serie A (9 Seasons),Serie A (9 Seasons),Serie A (9 Seasons),,,,272,272,24390,271.0,0,1,1,0,0,0,5,0,0.0,0.0,0.2,0.2,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Wojciech Szczęsny
Premier League (5 Seasons),Premier League (5 Seasons),Premier League (5 Seasons),,,,132,132,11848,131.6,0,0,0,0,0,0,7,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,Wojciech Szczęsny
League One (1 Season),League One (1 Season),League One (1 Season),,,,28,28,2495,27.7,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,Wojciech Szczęsny
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wojciech Szczęsny
2022-2023,18,FC Andorra,es ESP,2. La Liga 2,7th,7,3,305,3.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,19,17,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches,Álex Valle
2023-2024,19,Levante,es ESP,2. La Liga 2,8th,29,26,2307,25.6,0,0,0,0,0,0,2,0,0.6,0.6,1.8,2.4,48,108,122,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Matches,Álex Valle
2024-2025,20,Barcelona,es ESP,1. La Liga,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Álex Valle
2024-2025,20,Celtic,sct SCO,1. Premiership,1st,6,5,416,4.6,0,2,2,0,0,0,1,0,,,,,,,,0.00,0.43,0.43,0.00,0.43,,,,,,Matches,Álex Valle
3 Seasons,3 Seasons,4 Clubs,,3 Leagues,,42,34,3028,33.6,0,2,2,0,0,0,3,0,0.7,0.7,1.9,2.6,52,127,139,0.00,0.06,0.06,0.00,0.06,0.02,0.06,0.09,0.02,0.09,,Álex Valle
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Álex Valle
Levante (1 Season),Levante (1 Season),Levante (1 Season),,1 League,,29,26,2307,25.6,0,0,0,0,0,0,2,0,0.6,0.6,1.8,2.4,48,108,122,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,,Álex Valle
FC Andorra (1 Season),FC Andorra (1 Season),FC Andorra (1 Season),,1 League,,7,3,305,3.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,19,17,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,,Álex Valle
Celtic (1 Season),Celtic (1 Season),Celtic (1 Season),,1 League,,6,5,416,4.6,0,2,2,0,0,0,1,0,,,,,,,,0.00,0.43,0.43,0.00,0.43,,,,,,,Álex Valle
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Álex Valle
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Álex Valle
La Liga 2 (2 Seasons),La Liga 2 (2 Seasons),La Liga 2 (2 Seasons),,,,36,29,2612,29.0,0,0,0,0,0,0,2,0,0.7,0.7,1.9,2.6,52,127,139,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.09,0.02,0.09,,Álex Valle
Premiership (1 Season),Premiership (1 Season),Premiership (1 Season),,,,6,5,416,4.6,0,2,2,0,0,0,1,0,,,,,,,,0.00,0.43,0.43,0.00,0.43,,,,,,,Álex Valle
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Álex Valle
2011-2012,20,Real Sociedad,es ESP,1. La Liga,12th,26,26,2200,24.4,3,0,3,3,0,0,9,2,,,,,,,,0.12,0.00,0.12,0.12,0.12,,,,,,Matches,Iñigo Martínez,DF
2012-2013,21,Real Sociedad,es ESP,1. La Liga,4th,34,34,3060,34.0,4,0,4,4,0,0,9,0,,,,,,,,0.12,0.00,0.12,0.12,0.12,,,,,,Matches,Iñigo Martínez,DF
2013-2014,22,Real Sociedad,es ESP,1. La Liga,7th,35,35,3120,34.7,2,0,2,2,0,0,11,0,,,,,,,,0.06,0.00,0.06,0.06,0.06,,,,,,Matches,Iñigo Martínez,DF
2014-2015,23,Real Sociedad,es ESP,1. La Liga,12th,34,34,3026,33.6,3,0,3,3,0,0,6,0,,,,,,,,0.09,0.00,0.09,0.09,0.09,,,,,,Matches,Iñigo Martínez,DF
2015-2016,24,Real Sociedad,es ESP,1. La Liga,9th,30,30,2700,30.0,1,0,1,1,0,0,7,0,,,,,,,,0.03,0.00,0.03,0.03,0.03,,,,,,Matches,Iñigo Martínez,DF
2016-2017,25,Real Sociedad,es ESP,1. La Liga,6th,34,34,2997,33.3,3,2,5,3,0,0,10,1,,,,,,,,0.09,0.06,0.15,0.09,0.15,,,,,,Matches,Iñigo Martínez,DF
2017-2018,26,Real Sociedad,es ESP,1. La Liga,12th,12,12,1055,11.7,1,1,2,1,0,0,0,0,1.0,1.0,0.9,1.9,27,84,14,0.09,0.09,0.17,0.09,0.17,0.09,0.08,0.16,0.09,0.16,Matches,Iñigo Martínez,DF
2017-2018,26,Athletic Club,es ESP,1. La Liga,16th,16,16,1440,16.0,0,0,0,0,0,0,6,0,0.6,0.6,0.3,1.0,24,71,7,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches,Iñigo Martínez,DF
2018-2019,27,Athletic Club,es ESP,1. La Liga,8th,33,33,2902,32.2,0,0,0,0,0,0,12,0,2.1,2.1,0.6,2.7,37,116,18,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches,Iñigo Martínez,DF
2019-2020,28,Athletic Club,es ESP,1. La Liga,11th,33,33,2970,33.0,1,1,2,1,0,0,10,0,2.3,2.3,1.0,3.3,36,132,21,0.03,0.03,0.06,0.03,0.06,0.07,0.03,0.10,0.07,0.10,Matches,Iñigo Martínez,DF
2020-2021,29,Athletic Club,es ESP,1. La Liga,10th,28,28,2519,28.0,1,0,1,1,0,0,9,1,1.1,1.1,0.5,1.7,31,125,7,0.04,0.00,0.04,0.04,0.04,0.04,0.02,0.06,0.04,0.06,Matches,Iñigo Martínez,DF
2021-2022,30,Athletic Club,es ESP,1. La Liga,8th,27,26,2341,26.0,3,0,3,3,0,0,9,2,2.0,2.0,0.5,2.5,29,78,8,0.12,0.00,0.12,0.12,0.12,0.08,0.02,0.09,0.08,0.09,Matches,Iñigo Martínez,DF
2022-2023,31,Athletic Club,es ESP,1. La Liga,8th,15,15,1338,14.9,1,0,1,1,0,0,1,0,0.8,0.8,0.3,1.1,11,60,4,0.07,0.00,0.07,0.07,0.07,0.06,0.02,0.08,0.06,0.08,Matches,Iñigo Martínez,DF
2023-2024,32,Barcelona,es ESP,1. La Liga,2nd,20,13,1296,14.4,0,0,0,0,0,0,5,0,0.4,0.4,0.0,0.4,33,97,5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,Iñigo Martínez,DF
2024-2025,33,Barcelona,es ESP,1. La Liga,3rd,18,18,1600,17.8,0,1,1,0,0,0,3,0,0.3,0.3,1.6,1.9,48,155,3,0.00,0.06,0.06,0.00,0.06,0.02,0.09,0.11,0.02,0.11,Matches,Iñigo Martínez,DF
14 Seasons,14 Seasons,3 Clubs,,1 League,,395,387,34564,384.0,23,5,28,23,0,0,107,6,10.7,10.7,5.8,16.5,276,918,87,0.06,0.01,0.07,0.06,0.07,0.06,0.03,0.08,0.06,0.08,,Iñigo Martínez,DF
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Iñigo Martínez,DF
Real Sociedad (7 Seasons),Real Sociedad (7 Seasons),Real Sociedad (7 Seasons),,1 League,,205,205,18158,201.8,17,3,20,17,0,0,52,3,1.0,1.0,0.9,1.9,27,84,14,0.08,0.01,0.10,0.08,0.10,0.09,0.08,0.16,0.09,0.16,,Iñigo Martínez,DF
Athletic Club (6 Seasons),Athletic Club (6 Seasons),Athletic Club (6 Seasons),,1 League,,152,151,13510,150.1,6,1,7,6,0,0,47,3,9.0,9.0,3.3,12.3,168,582,65,0.04,0.01,0.05,0.04,0.05,0.06,0.02,0.08,0.06,0.08,,Iñigo Martínez,DF
Barcelona (2 Seasons),Barcelona (2 Seasons),Barcelona (2 Seasons),,1 League,,38,31,2896,32.2,0,1,1,0,0,0,8,0,0.7,0.7,1.6,2.3,81,252,8,0.00,0.03,0.03,0.00,0.03,0.02,0.05,0.07,0.02,0.07,,Iñigo Martínez,DF
2015,18,Avaí,br BRA,1. Série A,17th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Raphinha,"FW,MF"
2015-2016,18,Vitória,pt POR,1. Primeira Liga,10th,1,0,18,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Raphinha,"FW,MF"
2016-2017,19,Vitória,pt POR,1. Primeira Liga,4th,32,18,1695,18.8,4,6,10,4,0,0,6,0,,,,,,,,0.21,0.32,0.53,0.21,0.53,,,,,,Matches,Raphinha,"FW,MF"
2017-2018,20,Vitória,pt POR,1. Primeira Liga,9th,32,32,2785,30.9,15,4,19,13,2,3,4,0,,,,,,,,0.48,0.13,0.61,0.42,0.55,,,,,,Matches,Raphinha,"FW,MF"
2018-2019,21,Sporting CP,pt POR,1. Primeira Liga,3rd,24,16,1510,16.8,4,1,5,4,0,0,6,0,4.4,4.4,4.0,8.3,49,62,180,0.24,0.06,0.30,0.24,0.30,0.26,0.24,0.50,0.26,0.50,Matches,Raphinha,"FW,MF"
2019-2020,22,Sporting CP,pt POR,1. Primeira Liga,4th,4,4,360,4.0,2,0,2,2,0,0,1,0,1.5,1.5,0.7,2.2,7,11,47,0.50,0.00,0.50,0.50,0.50,0.38,0.17,0.55,0.38,0.55,Matches,Raphinha,"FW,MF"
2019-2020,22,Rennes,fr FRA,1. Ligue 1,3rd,22,20,1690,18.8,5,3,8,4,1,1,4,0,5.2,4.1,5.4,9.6,64,69,155,0.27,0.16,0.43,0.21,0.37,0.28,0.29,0.57,0.22,0.51,Matches,Raphinha,"FW,MF"
2020-2021,23,Rennes,fr FRA,1. Ligue 1,6th,6,5,404,4.5,1,2,3,1,0,0,0,0,0.9,0.9,0.9,1.7,11,12,31,0.22,0.45,0.67,0.22,0.67,0.20,0.19,0.39,0.20,0.39,Matches,Raphinha,"FW,MF"
2020-2021,23,Leeds United,eng ENG,Jr. PL2 — Div. 2,1st,1,1,90,1.0,1,0,1,1,0,0,1,0,,,,,,,,1.00,0.00,1.00,1.00,1.00,,,,,,Matches,Raphinha,"FW,MF"
2020-2021,23,Leeds United,eng ENG,1. Premier League,9th,30,26,2360,26.2,6,9,15,6,0,0,3,0,5.7,5.7,7.9,13.6,102,97,222,0.23,0.34,0.57,0.23,0.57,0.22,0.30,0.52,0.22,0.52,Matches,Raphinha,"FW,MF"
2021-2022,24,Leeds United,eng ENG,1. Premier League,17th,35,34,2915,32.4,11,3,14,7,4,4,7,0,10.2,7.0,7.5,14.5,89,134,286,0.34,0.09,0.43,0.22,0.31,0.31,0.23,0.54,0.22,0.45,Matches,Raphinha,"FW,MF"
2022-2023,25,Barcelona,es ESP,1. La Liga,1st,36,25,2072,23.0,7,7,14,7,0,0,9,0,9.3,9.3,9.8,19.1,97,104,339,0.30,0.30,0.61,0.30,0.61,0.41,0.43,0.83,0.41,0.83,Matches,Raphinha,"FW,MF"
2023-2024,26,Barcelona,es ESP,1. La Liga,2nd,28,17,1368,15.2,6,9,15,5,1,1,4,1,7.4,6.6,5.7,12.3,49,57,164,0.39,0.59,0.99,0.33,0.92,0.48,0.37,0.86,0.43,0.81,Matches,Raphinha,"FW,MF"
2024-2025,27,Barcelona,es ESP,1. La Liga,3rd,19,18,1586,17.6,11,6,17,10,1,1,1,0,11.6,10.8,8.9,19.8,60,90,182,0.62,0.34,0.96,0.57,0.91,0.66,0.51,1.17,0.61,1.12,Matches,Raphinha,"FW,MF"
10 Seasons,10 Seasons,6 Clubs,,5 Leagues,,269,215,18763,208.5,72,50,122,63,9,10,45,1,56.2,50.4,50.7,101.1,528,636,1606,0.35,0.24,0.59,0.30,0.54,0.35,0.32,0.67,0.32,0.64,,Raphinha,"FW,MF"
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Raphinha,"FW,MF"
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,83,60,5026,55.8,24,22,46,22,2,2,14,1,28.3,26.8,24.4,51.2,206,251,685,0.43,0.39,0.82,0.39,0.79,0.51,0.44,0.94,0.48,0.92,,Raphinha,"FW,MF"
Vitória (3 Seasons),Vitória (3 Seasons),Vitória (3 Seasons),,1 League,,65,50,4498,50.0,19,10,29,17,2,3,10,0,,,,,,,,0.38,0.20,0.58,0.34,0.54,,,,,,,Raphinha,"FW,MF"
Leeds United (2 Seasons),Leeds United (2 Seasons),Leeds United (2 Seasons),,1 League,,65,60,5275,58.6,17,12,29,13,4,4,10,0,15.9,12.7,15.4,28.1,191,231,508,0.29,0.20,0.49,0.22,0.43,0.27,0.26,0.53,0.22,0.48,,Raphinha,"FW,MF"
Sporting CP (2 Seasons),Sporting CP (2 Seasons),Sporting CP (2 Seasons),,1 League,,28,20,1870,20.8,6,1,7,6,0,0,7,0,5.9,5.9,4.7,10.5,56,73,227,0.29,0.05,0.34,0.29,0.34,0.28,0.22,0.51,0.28,0.51,,Raphinha,"FW,MF"
Rennes (2 Seasons),Rennes (2 Seasons),Rennes (2 Seasons),,1 League,,28,25,2094,23.3,6,5,11,5,1,1,4,0,6.1,5.0,6.3,11.3,75,81,186,0.26,0.21,0.47,0.21,0.43,0.26,0.27,0.53,0.22,0.49,,Raphinha,"FW,MF"
Leeds United (1 Season),Leeds United (1 Season),Leeds United (1 Season),,1 League,,1,1,90,1.0,1,0,1,1,0,0,1,0,,,,,,,,1.00,0.00,1.00,1.00,1.00,,,,,,,Raphinha,"FW,MF"
Avaí (1 Season),Avaí (1 Season),Avaí (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raphinha,"FW,MF"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raphinha,"FW,MF"
Primeira Liga (5 Seasons),Primeira Liga (5 Seasons),Primeira Liga (5 Seasons),,,,93,70,6368,70.8,25,11,36,23,2,3,17,0,5.9,5.9,4.7,10.5,56,73,227,0.35,0.16,0.51,0.33,0.48,0.28,0.22,0.51,0.28,0.51,,Raphinha,"FW,MF"
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,83,60,5026,55.8,24,22,46,22,2,2,14,1,28.3,26.8,24.4,51.2,206,251,685,0.43,0.39,0.82,0.39,0.79,0.51,0.44,0.94,0.48,0.92,,Raphinha,"FW,MF"
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,65,60,5275,58.6,17,12,29,13,4,4,10,0,15.9,12.7,15.4,28.1,191,231,508,0.29,0.20,0.49,0.22,0.43,0.27,0.26,0.53,0.22,0.48,,Raphinha,"FW,MF"
Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),,,,28,25,2094,23.3,6,5,11,5,1,1,4,0,6.1,5.0,6.3,11.3,75,81,186,0.26,0.21,0.47,0.21,0.43,0.26,0.27,0.53,0.22,0.49,,Raphinha,"FW,MF"
PL2 — Div. 2 (1 Season),PL2 — Div. 2 (1 Season),PL2 — Div. 2 (1 Season),,,,1,1,90,1.0,1,0,1,1,0,0,1,0,,,,,,,,1.00,0.00,1.00,1.00,1.00,,,,,,,Raphinha,"FW,MF"
Série A (1 Season),Série A (1 Season),Série A (1 Season),,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raphinha,"FW,MF"
2008-2009,19,Lech Poznań,pl POL,1. Ekstraklasa,3rd,30,27,2427,27.0,14,3,17,14,0,0,1,0,,,,,,,,0.52,0.11,0.63,0.52,0.63,,,,,,Matches,Robert Lewandowski,FW
2009-2010,20,Lech Poznań,pl POL,1. Ekstraklasa,1st,28,28,2514,27.9,18,4,22,18,0,0,6,0,,,,,,,,0.64,0.14,0.79,0.64,0.79,,,,,,Matches,Robert Lewandowski,FW
2010-2011,21,Dortmund,de GER,1. Bundesliga,1st,33,15,1591,17.7,8,1,9,8,0,0,4,0,,,,,,,,0.45,0.06,0.51,0.45,0.51,,,,,,Matches,Robert Lewandowski,FW
2011-2012,22,Dortmund,de GER,1. Bundesliga,1st,34,34,2868,31.9,22,7,29,22,0,0,4,0,,,,,,,,0.69,0.22,0.91,0.69,0.91,,,,,,Matches,Robert Lewandowski,FW
2012-2013,23,Dortmund,de GER,1. Bundesliga,2nd,31,29,2595,28.8,24,5,29,23,1,2,2,1,,,,,,,,0.83,0.17,1.01,0.80,0.97,,,,,,Matches,Robert Lewandowski,FW
2013-2014,24,Dortmund,de GER,1. Bundesliga,2nd,33,31,2799,31.1,20,8,28,16,4,4,3,0,,,,,,,,0.64,0.26,0.90,0.51,0.77,,,,,,Matches,Robert Lewandowski,FW
2014-2015,25,Bayern Munich,de GER,1. Bundesliga,1st,31,28,2480,27.6,17,5,22,16,1,1,0,0,,,,,,,,0.62,0.18,0.80,0.58,0.76,,,,,,Matches,Robert Lewandowski,FW
2015-2016,26,Bayern Munich,de GER,1. Bundesliga,1st,32,29,2653,29.5,30,2,32,28,2,2,2,0,,,,,,,,1.02,0.07,1.09,0.95,1.02,,,,,,Matches,Robert Lewandowski,FW
2016-2017,27,Bayern Munich,de GER,1. Bundesliga,1st,33,31,2775,30.8,30,5,35,25,5,5,5,0,,,,,,,,0.97,0.16,1.14,0.81,0.97,,,,,,Matches,Robert Lewandowski,FW
2017-2018,28,Bayern Munich,de GER,1. Bundesliga,1st,30,24,2172,24.1,29,2,31,23,6,7,1,0,27.9,22.4,2.4,24.8,44,71,220,1.20,0.08,1.28,0.95,1.04,1.16,0.10,1.26,0.93,1.03,Matches,Robert Lewandowski,FW
2018-2019,29,Bayern Munich,de GER,1. Bundesliga,1st,33,33,2957,32.9,22,7,29,19,3,4,2,0,30.7,27.5,8.9,36.4,79,92,241,0.67,0.21,0.88,0.58,0.79,0.93,0.27,1.21,0.84,1.11,Matches,Robert Lewandowski,FW
2019-2020,30,Bayern Munich,de GER,1. Bundesliga,1st,31,31,2759,30.7,34,4,38,29,5,5,5,0,30.7,26.8,6.6,33.5,70,91,245,1.11,0.13,1.24,0.95,1.08,1.00,0.22,1.22,0.87,1.09,Matches,Robert Lewandowski,FW
2020-2021,31,Bayern Munich,de GER,1. Bundesliga,1st,29,28,2458,27.3,41,7,48,33,8,9,4,0,31.3,24.2,4.7,28.8,51,67,185,1.50,0.26,1.76,1.21,1.46,1.14,0.17,1.31,0.88,1.06,Matches,Robert Lewandowski,FW
2021-2022,32,Bayern Munich,de GER,1. Bundesliga,1st,34,34,2946,32.7,35,3,38,30,5,5,2,0,33.2,29.3,4.4,33.7,46,81,268,1.07,0.09,1.16,0.92,1.01,1.01,0.13,1.15,0.90,1.03,Matches,Robert Lewandowski,FW
2022-2023,33,Barcelona,es ESP,1. La Liga,1st,34,33,2847,31.6,23,7,30,23,0,1,4,1,24.3,23.5,6.3,29.8,51,100,248,0.73,0.22,0.95,0.73,0.95,0.77,0.20,0.97,0.74,0.94,Matches,Robert Lewandowski,FW
