Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2022-2023,20,Le Havre,fr FRA,2. Ligue 2,1st,26.5,6,1,0,49,41,1,11,31,36,0,0,0,146,35,23,60.3,Amir Richardson,MF
2023-2024,21,Reims,fr FRA,1. Ligue 1,9th,15.0,4,0,0,30,22,0,13,15,23,0,0,0,86,17,11,60.7,Amir Richardson,MF
2024-2025,22,Fiorentina,it ITA,1. Serie A,4th,4.0,3,0,0,9,7,0,2,1,4,0,0,0,13,5,3,62.5,Amir Richardson,MF
2011-2012,21,Catania,it ITA,1. Serie A,11th,2.0,0,0,,0,,,,,,,,,,,,,Pietro Terracciano,GK
2013-2014,23,Avellino,it ITA,2. Serie B,11th,18.0,2,0,,,,,,,,,,,,,,,Pietro Terracciano,GK
2014-2015,24,Catania,it ITA,2. Serie B,22nd,6.0,1,0,,,,,,,,,,,,,,,Pietro Terracciano,GK
2015-2016,25,Salernitana,it ITA,2. Serie B,18th,31.0,2,1,,,,,,,,,,,,,,,Pietro Terracciano,GK
2016-2017,26,Salernitana,it ITA,2. Serie B,10th,21.0,0,0,,,,,,,,,,,,,,,Pietro Terracciano,GK
2017-2018,27,Empoli,it ITA,2. Serie B,1st,3.0,1,0,0,,0,0,0,0,0,0,0,0,,,,,Pietro Terracciano,GK
2018-2019,28,Empoli,it ITA,1. Serie A,18th,8.0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,,Pietro Terracciano,GK
2018-2019,28,Fiorentina,it ITA,1. Serie A,16th,2.0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,100.0,Pietro Terracciano,GK
2019-2020,29,Fiorentina,it ITA,1. Serie A,10th,6.9,0,0,0,1,2,0,0,0,0,0,1,0,6,2,1,66.7,Pietro Terracciano,GK
2020-2021,30,Fiorentina,it ITA,1. Serie A,13th,3.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Pietro Terracciano,GK
2021-2022,31,Fiorentina,it ITA,1. Serie A,7th,31.8,0,0,0,0,5,0,0,2,0,0,0,0,44,13,2,86.7,Pietro Terracciano,GK
2022-2023,32,Fiorentina,it ITA,1. Serie A,8th,29.0,1,0,0,2,0,0,0,1,1,0,2,0,51,6,0,100.0,Pietro Terracciano,GK
2023-2024,33,Fiorentina,it ITA,1. Serie A,8th,33.0,3,0,0,2,2,0,0,0,1,0,2,0,44,1,0,100.0,Pietro Terracciano,GK
2024-2025,34,Fiorentina,it ITA,1. Serie A,4th,3.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Pietro Terracciano,GK
2015-2016,18,Jong PSV,nl NED,2. Eerste Divisie,11th,8.8,0,0,,,,,,,,,,,,,,,Albert Guðmundsson,"MF,FW"
2016-2017,19,Jong PSV,nl NED,2. Eerste Divisie,4th,29.1,3,0,0,,0,0,0,0,0,0,0,0,,,,,Albert Guðmundsson,"MF,FW"
2017-2018,20,Jong PSV,nl NED,2. Eerste Divisie,5th,13.3,2,1,0,15,0,0,0,0,0,0,0,0,,,,,Albert Guðmundsson,"MF,FW"
2017-2018,20,PSV Eindhoven,nl NED,1. Eredivisie,1st,2.0,0,0,0,4,0,0,0,0,0,0,0,0,,,,,Albert Guðmundsson,"MF,FW"
2018-2019,21,AZ Alkmaar,nl NED,1. Eredivisie,4th,14.5,5,0,0,18,32,2,23,9,12,1,1,0,66,3,12,20.0,Albert Guðmundsson,"MF,FW"
2019-2020,22,Jong AZ,nl NED,2. Eerste Divisie,14th,3.0,0,0,0,4,5,1,12,0,1,,,0,,,,,Albert Guðmundsson,"MF,FW"
