Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Player,Position
2019-2020,21,Bologna,it ITA,1. Serie A,12th,7.8,0,10,1,10.0,1.29,0.13,0.00,0.00,24.2,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Nicolás Domínguez,"MF,FW"
2020-2021,22,Bologna,it ITA,1. Serie A,12th,13.9,1,18,5,27.8,1.29,0.36,0.06,0.20,19.7,0,0,0,1.2,1.2,0.06,-0.2,-0.2,Nicolás Domínguez,"MF,FW"
2021-2022,23,Bologna,it ITA,1. Serie A,13th,22.4,0,21,3,14.3,0.94,0.13,0.00,0.00,16.3,0,0,0,1.2,1.2,0.06,-1.2,-1.2,Nicolás Domínguez,"MF,FW"
2022-2023,24,Bologna,it ITA,1. Serie A,9th,25.6,3,42,17,40.5,1.64,0.67,0.07,0.18,22.5,0,0,0,2.6,2.6,0.06,+0.4,+0.4,Nicolás Domínguez,"MF,FW"
2023-2024,25,Bologna,it ITA,1. Serie A,5th,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Nicolás Domínguez,"MF,FW"
2023-2024,25,Nott'ham Forest,eng ENG,1. Premier League,17th,16.6,2,22,6,27.3,1.32,0.36,0.09,0.33,16.9,0,0,0,1.3,1.3,0.06,+0.7,+0.7,Nicolás Domínguez,"MF,FW"
2024-2025,26,Nott'ham Forest,eng ENG,1. Premier League,3rd,10.0,0,11,4,36.4,1.10,0.40,0.00,0.00,16.1,0,0,0,1.2,1.2,0.11,-1.2,-1.2,Nicolás Domínguez,"MF,FW"
2013-2014,20,Mallorca,es ESP,2. La Liga 2,17th,20.0,2,,9,,,0.45,,0.22,,,0,0,,,,,,Álex Moreno,DF
2014-2015,21,Rayo Vallecano,es ESP,1. La Liga,11th,5.1,0,,4,,,0.78,,0.00,,,0,0,,,,,,Álex Moreno,DF
2015-2016,22,Elche,es ESP,2. La Liga 2,11th,29.9,2,,23,,,0.77,,0.09,,,0,0,,,,,,Álex Moreno,DF
2016-2017,23,Rayo Vallecano,es ESP,2. La Liga 2,12th,29.9,4,0,13,,0.00,0.44,,0.31,,,0,0,,,,,,Álex Moreno,DF
2017-2018,24,Rayo Vallecano,es ESP,2. La Liga 2,1st,38.9,3,36,13,36.1,0.93,0.33,0.08,0.23,22.5,0,0,0,2.6,2.6,0.07,+0.4,+0.4,Álex Moreno,DF
