Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2021-2022,26,Southampton,eng ENG,1. Premier League,15th,35.7,132,3.70,71,53,0,5,0,3,7,0.20,3,4,0,0,0,0,James Ward-Prowse,MF
2022-2023,27,Southampton,eng ENG,1. Premier League,20th,37.5,127,3.39,62,59,1,3,1,1,9,0.24,3,3,1,2,0,0,James Ward-Prowse,MF
2023-2024,28,Southampton,eng ENG,2. Championship,4th,1.0,5,5.00,4,1,0,0,0,0,1,1.00,1,0,0,0,0,0,James Ward-Prowse,MF
2023-2024,28,West Ham,eng ENG,1. Premier League,9th,33.3,116,3.48,57,51,1,4,1,2,16,0.48,7,7,0,2,0,0,James Ward-Prowse,MF
2024-2025,29,West Ham,eng ENG,1. Premier League,14th,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,James Ward-Prowse,MF
2024-2025,29,Nott'ham Forest,eng ENG,1. Premier League,3rd,4.4,9,2.04,5,4,0,0,0,0,1,0.23,0,1,0,0,0,0,James Ward-Prowse,MF
2022-2023,22,Vitória,pt POR,1. Primeira Liga,6th,17.8,45,2.54,28,3,5,2,5,2,5,0.28,2,1,1,0,1,0,Jota Silva,"FW,MF"
2023-2024,23,Vitória,pt POR,1. Primeira Liga,5th,30.9,84,2.72,51,3,11,7,11,1,11,0.36,8,1,2,0,0,0,Jota Silva,"FW,MF"
2024-2025,24,Nott'ham Forest,eng ENG,1. Premier League,3rd,6.0,23,3.82,17,0,1,2,3,0,3,0.50,2,0,0,0,1,0,Jota Silva,"FW,MF"
2016-2017,18,Toulouse,fr FRA,1. Ligue 1,13th,2.9,,,,,,,,,,,,,,,,,Ibrahim Sangaré,MF
2017-2018,19,Toulouse,fr FRA,1. Ligue 1,18th,17.6,49,2.78,42,1,1,2,2,1,5,0.28,5,0,0,0,0,0,Ibrahim Sangaré,MF
