Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2012-2013,25,Barcelona,es ESP,1. La Liga,1st,23.0,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2013-2014,26,Barcelona,es ESP,1. La Liga,2nd,26.1,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2014-2015,27,Barcelona,es ESP,1. La Liga,1st,17.3,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2015-2016,28,Chelsea,eng ENG,1. Premier League,10th,22.6,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2016-2017,29,Chelsea,eng ENG,1. Premier League,1st,23.8,,36,,,,,,,,,,,21,,,,Pedro,"FW,MF"
2017-2018,30,Chelsea,eng ENG,1. Premier League,5th,16.9,20,11,6,8,6,5,18,27.8,13,13,1,12,13,33,7,1,Pedro,"FW,MF"
2018-2019,31,Chelsea,eng ENG,1. Premier League,3rd,19.8,27,14,11,10,6,9,35,25.7,26,13,2,11,18,45,8,1,Pedro,"FW,MF"
2019-2020,32,Chelsea,eng ENG,1. Premier League,4th,7.3,15,7,5,9,1,3,15,20.0,12,9,0,9,9,24,1,0,Pedro,"FW,MF"
2020-2021,33,Roma,it ITA,1. Serie A,7th,17.7,22,14,6,11,5,7,35,20.0,28,10,0,10,9,31,2,1,Pedro,"FW,MF"
2021-2022,34,Lazio,it ITA,1. Serie A,5th,22.6,36,23,8,19,9,16,47,34.0,31,18,2,16,6,42,8,0,Pedro,"FW,MF"
2022-2023,35,Lazio,it ITA,1. Serie A,2nd,21.1,35,24,14,10,11,11,30,36.7,19,18,2,16,6,41,4,1,Pedro,"FW,MF"
2023-2024,36,Lazio,it ITA,1. Serie A,7th,9.1,16,12,5,7,4,3,12,25.0,9,16,2,14,3,19,1,0,Pedro,"FW,MF"
2024-2025,37,Lazio,it ITA,1. Serie A,4th,5.2,9,5,1,5,3,5,9,55.6,4,4,0,4,1,10,2,0,Pedro,"FW,MF"
2018-2019,19,Roma,it ITA,1. Serie A,6th,1.8,1,1,1,0,0,1,2,50.0,1,2,1,1,3,4,2,0,Luca Pellegrini,DF
2018-2019,19,Cagliari,it ITA,1. Serie A,15th,10.4,28,19,16,11,1,14,25,56.0,11,13,3,10,18,46,22,0,Luca Pellegrini,DF
2019-2020,20,Cagliari,it ITA,1. Serie A,14th,21.2,31,15,20,7,4,15,38,39.5,23,19,2,17,21,52,45,2,Luca Pellegrini,DF
2020-2021,21,Genoa,it ITA,1. Serie A,11th,7.1,9,6,6,2,1,4,10,40.0,6,11,2,9,8,17,13,1,Luca Pellegrini,DF
2021-2022,22,Juventus,it ITA,1. Serie A,4th,12.3,23,10,13,5,5,12,19,63.2,7,9,1,8,5,28,23,0,Luca Pellegrini,DF
2022-2023,23,Eint Frankfurt,de GER,1. Bundesliga,7th,6.2,13,8,10,3,0,8,8,100.0,0,8,2,6,7,20,11,1,Luca Pellegrini,DF
